x, y
0.0, 0.0
0.1, 0.09983341664682815
0.2, 0.19866933079506122
0.3, 0.2955202066613396
0.4, 0.3894183423086505
0.5, 0.479425538604203
0.6, 0.5646424733950354
0.7, 0.644217687237691
0.8, 0.7173560908995228
0.9, 0.7833269096274834
1.0, 0.8414709848078965
1.1, 0.8912073600614354
1.2, 0.9320390859672263
1.3, 0.963558185417193
1.4, 0.9854497299884601
1.5, 0.9974949866040544
1.6, 0.9995736030415051
1.7, 0.9916648104524686
1.8, 0.9738476308781928
1.9, 0.9463000876719582
2.0, 0.9092974268256817
2.1, 0.8632093666488737
2.2, 0.8084964038195901
2.3, 0.7457052121767203
2.4, 0.675463180551151
2.5, 0.5984721441039564
2.6, 0.5155013718214639
2.7, 0.4273798802338294
2.8, 0.3499949866040544
2.9, 0.2392493307950612
3.0, 0.1411200080598672
3.1, 0.0415806624332905
3.2, -0.0583741434270832
3.3, -0.1577456941459424
3.4, -0.2555411020268312
3.5, -0.3507832276896161
3.6, -0.442520443294851
3.7, -0.5298361409084931
3.8, -0.6118578909427184
3.9, -0.6877661591839739
4.0, -0.7568024953079282
4.1, -0.8182771110644104
4.2, -0.8715757724135882
4.3, -0.9161659367494549
4.4, -0.951602073889516
4.5, -0.977530117665097
4.6, -0.9936910035922332
4.7, -0.9999232575641006
4.8, -0.9961646088350587
4.9, -0.9824526126278854
5.0, -0.9589242746631385
5.1, -0.9258146823277259
5.2, -0.8834546557201532
5.3, -0.8322674422239011
5.4, -0.7727644875559871
5.5, -0.7055403004627914
5.6, -0.6312666378723214
5.7, -0.5506855425976435
5.8, -0.4646021794137573
5.9, -0.3738766648302484
6.0, -0.2794154981989259
6.1, -0.1821625042721004
6.2, -0.0830894028174962
6.3, 0.01681390036683838
