# DUMMY_METADATA: Synthetic Benchmark Demo Data
# INSTRUMENT: UV-Vis Demo-Spectrometer (Synthetic Model)
# DATASET_TYPE: Demonstration Spectrum
# SAMPLE ID: Demo_Sample_TealDye_01
# INTEGRATION TIME: 100ms
# SCANS TO AVERAGE: 5
# BOXCAR SMOOTHING: 2
# DARK CORRECTED: YES
# REFERENCE CORRECTED: YES
# NOTE: Dummy metadata for sample testing purposes only
# ----- START OF DATA -----
400	0.051
410	0.055
420	0.062
430	0.071
440	0.083
450	0.101
460	0.125
470	0.160
480	0.211
490	0.283
500	0.384
510	0.518
520	0.680
530	0.844
540	0.965
550	0.998
560	0.932
570	0.785
580	0.612
590	0.448
600	0.315
610	0.221
620	0.160
630	0.121
640	0.096
650	0.078
660	0.066
670	0.058
680	0.052
690	0.048
700	0.045
